WhatYouWillDo,WorkingHoursDetails,SalaryRange,WorkingPatternDetails,Overview,JobProfileCategories,WorkingPattern,WYDDayToDayTasks,Title,MaximumHours,SalaryExperienced,Skills,SalaryStarter
,a week,"£19,000 to £40,000 a year",,Metrologists use very precise measurements in science and industry to make sure that processes and products meet high standards.,"Engineering and maintenance,Manufacturing,Science and research",between 8am and 6pm,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>using handheld and computerised measuring equipment</li>
    <li>checking the dimensions of finished products, tools and machine parts</li>
    <li>comparing product standards to technical drawings</li>
    <li>working closely with technicians to fix production problems</li>
    <li>calibrating measuring tools in line with recognised standards</li>
    <li>recording test results for production planning and quality control</li>
    <li>keeping up to date with measurement methods, technology and guidelines</li>
</ul>",Metrologist,40,40000,,19000
"<p>You may work for a local authority's youth services team, youth offending team, community groups or voluntary youth organisations. </p>
<p>
If you work as a 'detached youth worker', you&rsquo;ll be making contact with young people on the streets and in parks and shopping centres.</p>
<p>Your day-to-day tasks will include:</p>
<ul>
    <li>organising sports, arts, education and drama activities</li>
    <li>counselling, coaching and mentoring</li>
    <li>working with young carers or those at risk of offending</li>
    <li>assessing needs and running projects that deal with issues like health, bullying, crime or drugs</li>
    <li>managing volunteers and part-time workers</li>
    <li>keeping confidential records </li>
    <li>controlling budgets and applying for grants and funding </li>
    <li>working with social workers, teachers, probation officers and the police</li>
</ul>",a week,,on a rota,Youth workers guide and support young people aged 11 to 25. They organise activities to help with personal and social development.,"Social care,Teaching and education",evenings / weekends,"<p>Your day-to-day tasks will include:</p>
<ul>
    <li>organising sports, arts, education and drama activities</li>
    <li>counselling, coaching and mentoring</li>
    <li>working with young carers or those at risk of offending</li>
    <li>assessing needs and running projects that deal with issues like health, bullying, crime or drugs</li>
    <li>managing volunteers and part-time workers</li>
    <li>keeping confidential records </li>
    <li>controlling budgets and applying for grants and funding </li>
    <li>working with social workers, teachers, probation officers and the police</li>
</ul>",Youth worker,39,37500,"<p>
You'll need:
</p>
<ul>
    <li>excellent communication and listening skills</li>
    <li>
    the ability to inspire, motivate and gain trust
    </li>
    <li>
    organisational and planning skills</li>
    <li>
    the ability to keep to boundaries with clients</li>
</ul>",23250
"<p>
In the NHS, you could be based at a hospital or in the community.
</p>
<p>
In a hospital, your job would involve:
</p>
<ul>
    <li>specialising in an area like children's health, renal dietetics or cancer care
    </li>
    <li>running clinics for people with diabetes or eating disorders, like anorexia or bulimia
    </li>
    <li>working with catering services to create menus for patients with a range of dietary needs
    </li>
</ul>
<p>
In the community, you could be:
</p>
<ul>
    <li>raising awareness of the importance of healthy eating
    </li>
    <li>running health promotion workshops
    </li>
    <li>advising people who lack confidence, have depression, or are on a low income</li>
</ul>
You'll work with other health professionals and nutritionists. You may also supervise the work of dietetic assistants.",a week,,occasionally,"Dietitians diagnose and treat people with nutrition problems, and help people make healthy lifestyle and dietary decisions.",Healthcare,weekends,"<p>In a hospital, your job would involve:</p>
<ul>
    <li>specialising in an area like children's health, renal dietetics or cancer care</li>
    <li>running clinics for people with diabetes or eating disorders, like anorexia or bulimia</li>
    <li>working with catering services to create menus for patients with a range of dietary needs</li>
</ul>
<p>In the community, you could be:</p>
<ul>
    <li>raising awareness of the importance of healthy eating</li>
    <li>running health promotion workshops</li>
    <li>advising people who lack confidence, have depression, or are on a low income</li>
</ul>",Dietitian,40,37267,"<p>
You'll need:
</p>
<ul>
    <li>excellent communication skills</li>
    <li>motivational skills
    </li>
    <li>organisational skills</li>
    <li>business skills if you're working as a freelancer</li>
</ul>",24214
"<p>You could work for a large chain or an independent business. You'll be responsible for creating a welcoming, friendly atmosphere and talking with customers.</p>
<p>Your day-to-day tasks could include:</p>
<ul>
    <li>using a till to take orders and payments</li>
    <li>handling cash</li>
    <li>serving drinks and snacks</li>
    <li>keeping the bar clean and well stocked</li>
</ul>",variable,,on shifts,"Bar staff serve drinks in venues like pubs, clubs, wine bars, hotels and leisure centres.","Hospitality and food,Retail and sales",evenings / weekends / bank holidays,"<p>Your day-to-day tasks could include:</p>
<ul>
    <li>using a till to take orders and payments</li>
    <li>handling cash</li>
    <li>serving drinks and snacks</li>
    <li>keeping the bar clean and well stocked</li>
</ul>",Bar person,41,35000,"<p>
You'll need:
</p>
<ul>
    <li>
    the ability to get on with a wide range of customers</li>
    <li>
    numeracy skills
    </li>
    <li>
    the ability to remember drink orders
    </li>
</ul>",12000
"<p>Dry lining methods are used to create the walls and rooms in a building. They also hide wires and pipes, improve a room&rsquo;s acoustics, create space for insulation and smooth out uneven walls during renovation work.&nbsp;<br />
<br />
Your work will involve a &lsquo;fixing' stage, followed by a &rsquo;finishing' stage. <br />
<br />
At the 'fixing&rsquo; stage, you&rsquo;ll:</p>
<ul>
    <li>measure and cut plasterboard to the right sizes and angles</li>
    <li>fix panels to timber, metal frames or ceiling joists using special studs</li>
    <li><span style=""line-height: 1.5;"">cut panels to fit around doorways and create openings for windows</span></li>
</ul>
<p>You&rsquo;ll then &lsquo;finish&rsquo; the walls by:</p>
<ul>
    <li>sealing joints using filler or adhesive</li>
    <li>taping over the seal either by hand or with a taping machine</li>
    <li>applying a thin layer of plaster over the tape (skimming)</li>
    <li>sanding down the area ready for painting and decorating</li>
</ul>",a week,,,"Dry liners use plasterboard panels to build internal walls, suspended ceilings and raised flooring in houses, offices and shops.",Construction and trades,evenings / weekends / bank holidays,"<p>Your work will involve a &lsquo;fixing' stage, followed by a &rsquo;finishing' stage. At the 'fixing' stage, you&rsquo;ll:</p>
<ul>
    <li>measure and cut plasterboard to the right sizes and angles</li>
    <li>fix panels to timber, metal frames or ceiling joists using special studs</li>
    <li>cut panels to fit around doorways and create openings for windows</li>
</ul>
<p>You&rsquo;ll then 'finish&rsquo; the walls by:</p>
<ul>
    <li>sealing joints using filler or adhesive</li>
    <li>taping over the seal either by hand or with a taping machine</li>
    <li>applying a thin layer of plaster over the tape (skimming)</li>
    <li>sanding down the area ready for painting and decorating</li>
</ul>",Dry liner,44,30000,"<p dir=""ltr"">You&rsquo;ll need:</p>
<ul>
    <li dir=""ltr"">good practical skills</li>
    <li dir=""ltr"">good maths skills for working out surface areas and angles</li>
    <li dir=""ltr"">accuracy and attention to detail</li>
    <li dir=""ltr"">the ability to read technical diagrams</li>
</ul>",10000
"<p>Your day-to-day duties may include:&nbsp;</p>
<ul>
    <li>planning policies and procedures</li>
    <li>making decisions about the organisation&rsquo;s priorities</li>
    <li>assessing current and future business costs, risks and opportunities</li>
    <li>negotiating business contracts and monitoring how these are delivered</li>
    <li>making sure procedures meet legal requirements and technical standards</li>
    <li>meeting regularly with the senior management team, partners and clients</li>
    <li>keeping up to date with trends in IT</li>
    <li>managing budgets</li>
</ul>",a week,,,IT directors manage the development of IT systems for their organisation and its customers.,"Computing, technology and digital,Managerial",between 8am and 6pm,"<p>In this role you could be</p>
<ul>
    <li>planning policies and procedures</li>
    <li>making decisions about the organisation&rsquo;s priorities</li>
    <li>assessing current and future business costs, risks and opportunities</li>
    <li>negotiating business contracts and monitoring how these are delivered</li>
    <li>making sure procedures meet legal requirements and technical standards</li>
    <li>meeting regularly with the senior management team, partners and clients</li>
    <li>keeping up to date with trends in IT</li>
    <li>managing budgets</li>
</ul>",Head of IT (IT director),40,140000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>leadership skills</li>
    <li>project management skills</li>
    <li>the ability to build effective relationships with partners</li>
    <li>negotiating skills</li>
    <li>communication skills</li>
    <li>the ability to manage change</li>
</ul>",55000
"<p>You&rsquo;ll install and maintain the heating and air conditioning systems in large buildings, like offices, schools, shops and sports centres.<br />
<br />
You could work as a:</p>
<ul>
    <li>heating installer &ndash; fitting heating equipment and pipework systems</li>
    <li>ductwork installer &ndash; putting in ductwork and ventilation systems&nbsp;</li>
    <li>domestic heating installer &ndash; fitting central heating systems in homes</li>
    <li>service engineer &ndash; planning and carrying out regular maintenance and repairs&nbsp;</li>
    <li>commissioning engineer &ndash; making sure systems meet their original design specification</li>
    <li><span style=""line-height: 1.5;"">control engineer &ndash; designing and installing the control panels that operate and adjust heating systems</span></li>
</ul>
<p>You&rsquo;ll also work with renewable energy heating systems, like ground source heat pumps, and make sure that systems are as efficient as possible.</p>",a week,,as customers demand,"Heating and ventilation engineers install and service heating and air conditioning in large buildings like factories, schools and hospitals.","Construction and trades,Engineering and maintenance",evenings / weekends,"<p>Your day-to-day tasks may include working as a:</p>
<ul>
    <li>heating installer, fitting heating equipment and pipework systems</li>
    <li>ductwork installer, putting in ductwork and ventilation systems</li>
    <li>domestic heating installer, fitting central heating systems in homes</li>
    <li>service engineer, planning and carrying out regular maintenance and repairs</li>
    <li>commissioning engineer, making sure systems meet their original design specification</li>
    <li>control engineer, designing and installing the control panels that operate and adjust heating systems</li>
    <li>renewable energy engineer, working with systems using wind, tidal, solar, wave, hydro, geothermal, biomass and hydrogen</li>
</ul>",Heating and ventilation engineer,43,35000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>practical skills</li>
    <li>the ability to follow technical drawings, building plans and other instructions</li>
    <li>the ability to take accurate measurements</li>
    <li>written and spoken communication skills</li>
    <li>problem-solving skills</li>
</ul>",18000
,a week,"£18,000 to £45,000 a year",attending events or appointments,Advertising account planners develop and plan advertising campaigns to make sure they reach the right audience.,"Creative and media,Retail and sales",9am to 5pm,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>meeting clients to find out about their products or services</li>
    <li>analysing data from past market reports and campaigns</li>
    <li>carrying out market research, or employing a market research agency to do it</li>
    <li>developing an advertising strategy to reach the target audience</li>
    <li>presenting the strategy to the client</li>
    <li>working with the project team, including art directors and copywriters</li>
    <li>briefing the agency's creative team about the client's product or message</li>
    <li>monitoring audience response and sales figures and assessing the success of the campaign</li>
</ul>",Advertising account planner,41,45000,,18000
"<p>Most teaching jobs are in state schools and academies, but you could also work in independent schools, pupil referral units and hospitals. You could also register with an agency to provide 'supply' cover for other teachers.</p>
<p>You'll teach your specialist subject at key stage 3 (ages 11 to 14) and key stage 4 (ages 15 to 16).
You may also teach young people in a sixth form (ages 16 to 19).</p>
<p>Your day-to-day tasks may include:</p>
<ul>
    <li>planning and preparing lessons</li>
    <li>setting and marking essays and exams</li>
    <li>checking students&rsquo; progress</li>
    <li>developing new courses and teaching materials</li>
    <li>classroom administration and record keeping</li>
    <li>attending meetings and training courses</li>
</ul>
<p>You'll also spend extra hours taking part in activities like outings, parents' evenings and training.</p>
<p>&nbsp;</p>",term time,"£23,000 to £67,305 a year",attending events or appointments,"Secondary school teachers teach children from 11 to 16, or up to 19 in schools with sixth forms.",Teaching and education,evenings,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>planning and preparing lessons</li>
    <li>setting and marking essays and exams</li>
    <li>developing new courses and teaching materials</li>
    <li>updating records</li>
    <li>attending meetings and training courses</li>
    <li>talking to parents and carers about their children's progress</li>
    <li>organising outings, school social activities and sporting events</li>
</ul>",Secondary school teacher,40,61005,"<p>You'll need:</p>
<ul>
    <li>enthusiasm for the subjects you teach
    </li>
    <li>excellent communication skills and the ability to express yourself clearly in speech and writing</li>
    <li>the ability to manage classes and deal with challenging behaviour</li>
    <li>a caring attitude and observational skills for noticing signs of distress in children and young people</li>
    <li>IT, organisational and planning skills for lessons and reports</li>
    <li>creativity to design activities and materials which will engage and inspire young people</li>
    <li>teamworking skills and the ability to use your initiative</li>
    <li>people skills for developing working relationships with pupils parents, teachers and other professionals</li>
</ul>",23720
"<p>You may work for an independent garage, or freight, transport and construction companies, fast-fit outlets and car dealerships. You may specialise in one particular make of vehicle.</p>
<p>Your daily tasks may include:</p>
<ul>
    <li>telling customers if repairs are needed and whether they're urgent</li>
    <li>working out the estimated time and cost for jobs</li>
    <li>checking stock levels and ordering parts</li>
    <li>carrying out standard servicing, repairs and maintenance</li>
    <li>road testing vehicles to check repairs</li>
    <li>fitting and servicing accessories like stereos and alarms</li>
    <li>keeping records</li>
</ul>
<p>If your employer deals with breakdowns, you may be on call and have to travel long distances.</p>",a week,"£18,000 to £35,000 a year",flexibly,Motor mechanics repair and service cars and vans.,"Engineering and maintenance,Manufacturing",evenings / weekends,"<p>Your daily tasks may include:</p>
<ul>
    <li>telling customers if repairs are needed and whether they're urgent</li>
    <li>working out the estimated time and cost for jobs</li>
    <li>checking stock levels and ordering parts</li>
    <li>carrying out standard servicing, repairs and maintenance</li>
    <li>road testing vehicles to check repairs</li>
    <li>fitting and servicing accessories like stereos and alarms</li>
    <li>keeping records</li>
</ul>",Motor mechanic,45,35000,"<p>You'll need:</p>
<ul>
    <li>an interest in cars and vans and how they work</li>
    <li>customer service skills for building trust and repeat business</li>
    <li>the ability to understand and fix the faults your customers describe</li>
    <li>strong practical skills for handling tools and machinery</li>
    <li>the ability to accurately follow written and spoken instructions</li>
    <li>the ability to quickly grasp new vehicle technologies and diagnostic aids
    </li>
</ul>",18000
"<p>You'll help to make sure rents, council tax and business rates are collected. You'll be responsible for arranging payment of housing and council tax benefits.
</p>
<p>
Your day-to-day tasks as a revenues officer may include:</p>
<ul>
    <li>calculating rents, council tax and business rates
    </li>
    <li>sending bills and reminders
    </li>
    <li>collecting and processing payments
    </li>
    <li>recovering arrears of rent or council tax
    </li>
    <li>arranging legal action against debtors
    </li>
    <li>getting money back from customers who have been overpaid
    </li>
    <li>attending court
    </li>
</ul>
<p>
With experience, you may also work on housing valuations.
</p>
<p>
Your day-to-day tasks as a benefits officer may include:</p>
<ul>
    <li>assessing people's eligibility for benefits
    </li>
    <li>checking and processing claims forms
    </li>
    <li>arranging payments
    </li>
    <li>recovering overpayments of benefits
    </li>
</ul>
<p>
With experience you may investigate potential cases of fraud.</p>",a week,,,"Revenues and benefits officers work for local councils and deal with housing benefits, rents, council tax and business rates.","Administration,Business and finance",between 8am and 6pm,"<p>Your day-to-day tasks as a revenues officer may include:</p>
<ul>
    <li>calculating rents, council tax and business rates</li>
    <li>sending bills and reminders</li>
    <li>collecting and processing payments</li>
    <li>recovering arrears of rent or council tax</li>
    <li>arranging legal action against debtors</li>
    <li>getting money back from customers who have been overpaid</li>
    <li>attending court</li>
</ul>",Local government revenues officer,39,36000,"<p>
You'll need:
</p>
<ul>
    <li>excellent communication skills
    </li>
    <li>the ability to remain calm and polite with customers who may be angry or upset
    </li>
    <li>the ability to understand and clearly explain complex rules
    </li>
    <li>excellent customer service skills
    </li>
    <li>accuracy and attention to detail
    </li>
</ul>",16000
"<p>
</p>
<p>You&rsquo;ll usually work in a high street shop, for a chain of bookmakers.</p>
<p>Your day-to-day tasks may include:</p>
<ul>
    <li>welcoming customers and offering refreshments</li>
    <li>explaining odds and different ways of betting</li>
    <li>using computerised systems to take bets and pay out winnings</li>
    <li>making sure the satellite TV, video and digital display systems are working
    </li>
    <li>
    keeping the shop clean and tidy and stocked with betting slips, pens and odds sheets
    </li>
    <li>giving information about products like gaming machines </li>
    <li>reporting any suspicious betting patterns or under-age gambling to the shop manager</li>
    <li>balancing takings after the shop closes for the day</li>
</ul>
<p>Your busiest times will be when there are sporting events, elections and the run-up to Christmas.</p>",a week,,on a rota,"Betting shop cashiers work in high street bookmakers' shops, serving customers and handling bets.","Retail and sales,Sports and leisure",evenings / weekends / bank holidays,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>welcoming customers and offering refreshments</li>
    <li>explaining odds and different ways of betting</li>
    <li>using computerised systems to take bets and pay out winnings</li>
    <li>making sure the satellite TV, video and digital display systems are working
    </li>
    <li>
    keeping the shop clean and tidy and stocked with betting slips, pens and odds sheets
    </li>
    <li>giving information about products like gaming machines </li>
    <li>reporting any suspicious betting patterns or under-age gambling to the shop manager</li>
    <li>balancing takings after the shop closes for the day</li>
</ul>",Betting shop cashier,40,45000,"<p>
You'll need:
</p>
<ul>
    <li>customer service and observation skills
    </li>
    <li>maths and IT skills
    </li>
    <li>the ability to cope with a fast-paced, varied workload</li>
</ul>",13000
"<p>Your day-to-day duties may include:</p>
<ul>
    <li>arranging auditions and bookings for clients</li>
    <li>negotiating contracts and fees</li>
    <li>organising tours and booking venues</li>
    <li>advising clients, like advising actors which roles to audition for</li>
    <li>arranging publicity and promotion</li>
    <li>winning clients and scouting for new talent</li>
    <li>handling media enquiries, fan mail and requests for personal appearances</li>
    <li>dealing with travel arrangements and work permits</li>
</ul>",a week,,attending events or appointments,Entertainment agents promote careers in the entertainment industry and manage performers' and other professionals' business affairs.,"Creative and media,Managerial",evenings / weekends / bank holidays,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>arranging auditions and bookings for clients</li>
    <li>negotiating contracts and fees</li>
    <li>organising tours and booking venues</li>
    <li>advising clients, like advising actors which roles to audition for</li>
    <li>arranging publicity and promotion</li>
    <li>winning clients and scouting for new talent</li>
    <li>handling media enquiries, fan mail and requests for personal appearances</li>
    <li>dealing with travel arrangements and work permits</li>
</ul>",Entertainment agent,41,100000,"<p>You&rsquo;ll need:&nbsp;</p>
<ul>
    <li>a highly organised approach to work</li>
    <li>business sense</li>
    <li>excellent persuading and negotiating skills</li>
    <li>the ability to build contacts and close working relationships</li>
    <li>IT and administrative skills</li>
</ul>",15000
"<p>You'll work in one or more of the 3 areas covered by the Foreign and Commonwealth Office. These are:</p>
<ul>
    <li>political - monitoring political and economic developments in other countries, and representing Britain in government and the media
    </li>
    <li>commercial - helping British companies to trade overseas and promoting investment in Britain
    </li>
    <li>consular - assisting British citizens in other countries and processing UK visa applications
    </li>
</ul>
<p>
Your day-to-day duties will depend on your role:
</p>
<ul>
    <li>policy officers research issues and help to develop policy and strategy
    </li>
    <li>executive assistants draft letters, handle accounts and invoices, and provide clerical support
    </li>
    <li>administrative assistants provide clerical support</li>
</ul>",a week,,attending events or appointments,"Diplomatic service officers help to promote and protect British interests, businesses and citizens overseas.","Administration,Government services,Managerial",on call,"<p>Your day-to-day duties will depend on your role but may include:</p>
<ul>
    <li>monitoring and analysing overseas events</li>
    <li>developing policies and strategies towards different countries</li>
    <li>dealing with press and communications at home and abroad</li>
    <li>promoting overseas investment into the UK</li>
    <li>giving consular support to UK citizens abroad</li>
    <li>processing visa applications for people looking to visit, study or work in the UK</li>
    <li>giving admin support to other embassy staff</li>
</ul>",Diplomatic service officer,40,45000,"<p>
You'll need:
</p>
<ul>
    <li>initiative and flexibility</li>
    <li>excellent communication skills
    </li>
    <li>the ability to relate to people from all societies and cultures</li>
</ul>",25000
"<p>You'll be based in an office and spend a lot of time working on a computer.</p>
<p>
You'll monitor and upload content to sites like:</p>
<ul>
    <li>Facebook and Twitter</li>
    <li>Instagram and Pinterest</li>
    <li>YouTube and Vine</li>
</ul>
<p>Your duties may include:</p>
<ul>
    <li>updating social media sites</li>
    <li>writing blogs, articles and posts</li>
    <li>responding to social media posts and developing discussions</li>
    <li>checking online for company mentions and customer feedback</li>
    <li>searching for interesting posts, news and articles to attract site visitors</li>
    <li>overseeing competitions and campaigns promoting your company</li>
    <li>taking part in conferences and group chat relevant to your industry or company</li>
    <li>educating other staff on social media use</li>
    <li>promoting social media use within your company</li>
    <li>developing strategies to increase your audience</li>
    <li>using social media tools like Hootsuite, TweetDeck or Buffer to manage multiple sites</li>
    <li>using web tracking tools like Google Analytics, Social Report or Bitly</li>
</ul>
<p>You may also attend meetings and make presentations about your work to clients or colleagues. </p>
<p>
If you're freelance, you may work longer hours depending on the needs of your clients and the amount of work you take on.</p>",a week,"£23,000 to £75,000 a year",attending events or appointments,Social media managers communicate with organisations’ customers and clients through social media channels.,"Computing, technology and digital",evenings / weekends,"<p>Your duties may include:</p>
<ul>
    <li>updating social media sites</li>
    <li>writing blogs, articles and posts</li>
    <li>responding to social media posts and developing discussions</li>
    <li>checking online for company mentions and customer feedback</li>
    <li>searching for interesting posts, news and articles to attract site visitors</li>
    <li>overseeing competitions and campaigns promoting your company</li>
    <li>taking part in conferences and group chat relevant to your industry or company</li>
    <li>educating other staff on social media use</li>
    <li>promoting social media use within your company</li>
    <li>developing strategies to increase your audience</li>
    <li>using social media tools like Hootsuite, TweetDeck or Buffer to manage multiple sites</li>
    <li>using web tracking tools like Google Analytics, Social Report or Bitly</li>
</ul>",Social media manager,40,75000,"<p>You'll need:</p>
<ul>
    <li>IT skills and an understanding of SEO and analytics</li>
    <li>social media skills to use channels like facebook, twitter, and instagram for marketing purposes</li>
    <li>an analytical approach to data and an eye for detail</li>
    <li>organisational skills and the ability to multi-task</li>
    <li>creativity to write and edit blogs, articles and other content</li>
    <li>communication and presentation skills for sharing ideas</li>
    <li>the ability to work in a team and on your own</li>
</ul>",23000
"<p>Your day-to-day duties may include:</p>
<ul>
    <li>laying out pages using the most suitable graphics and photographs </li>
    <li>discussing ideas with colleagues, like journalists and editorial staff </li>
    <li>hiring, and working with, freelance designers, illustrators and photographers </li>
    <li>producing cover designs </li>
    <li>setting an overall look and style for each issue </li>
    <li>redesigning the publication to keep it up-to-date </li>
    <li>making sure the layout of apps and digital magazines works well </li>
    <li>managing photo shoots</li>
</ul>",a week,,occasionally,Art editors use words and images to make magazines look good and easy to read.,Creative and media,evenings,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>laying out pages using the most suitable graphics and photographs </li>
    <li>discussing ideas with colleagues, like journalists and editorial staff </li>
    <li>hiring, and working with, freelance designers, illustrators and photographers </li>
    <li>producing cover designs </li>
    <li>setting an overall look and style for each issue </li>
    <li>redesigning the publication to keep it up-to-date </li>
    <li>making sure the layout of apps and digital magazines works well </li>
    <li>managing photo shoots</li>
</ul>",Art editor,39,40000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>creativity </li>
    <li>excellent communication and presentation skills </li>
    <li>the ability to work to tight deadlines and within budget </li>
    <li>excellent IT skills</li>
    <li>attention to detail</li>
</ul>",18000
,a week,"£22,000 to £50,000 a year",,"Transport planners manage road, rail and air transport networks at local, regional and national level.","Managerial,Transport",9am to 5pm,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>simulating transport problems using computer models</li>
    <li>analysing and interpreting data from transport studies</li>
    <li>forecasting the impact of new developments like shopping centres</li>
    <li>looking at schemes to manage traffic, like congestion charging or parking controls</li>
    <li>studying accident 'black spots' to design road safety improvements</li>
    <li>writing reports for funding bids and planning authorities</li>
    <li>acting as an expert witness during public enquiries</li>
    <li>promoting the benefits of public transport, cycling and walking to get around</li>
</ul>",Transport planner,43,50000,,22000
"<p>Your day-to-day duties may include:</p>
<ul>
    <li>advising customers what parts they might need for their vehicle</li>
    <li>taking orders in person, over the phone or by email</li>
    <li>checking availability of parts on computerised stock records</li>
    <li>getting parts from the storeroom or warehouse or ordering them from suppliers</li>
    <li>putting orders together</li>
    <li>sending orders by courier or making deliveries yourself</li>
    <li>dealing with payments</li>
    <li>raising invoices and issuing receipts<br />
    maintaining shop window and shelf displays</li>
    <li>ordering supplies, putting stock away and updating records</li>
</ul>",a week,,on a rota,"Motor vehicle parts persons supply individuals, dealerships and garages with spare parts.","Delivery and storage,Retail and sales,Transport",evenings / weekends / bank holidays,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>advising customers what parts they might need for their vehicle</li>
    <li>taking orders in person, over the phone or by email</li>
    <li>checking availability of parts on computerised stock records</li>
    <li>getting parts from the storeroom or warehouse or ordering them from suppliers</li>
    <li>putting orders together</li>
    <li>sending orders by courier or making deliveries yourself</li>
    <li>dealing with payments</li>
    <li>raising invoices and issuing receipts maintaining shop window and shelf displays</li>
    <li>ordering supplies, putting stock away and updating records</li>
</ul>",Motor vehicle parts person,45,25000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>good administration and IT skills</li>
    <li>good maths skills</li>
    <li>the ability to explain technical details clearly to customers</li>
</ul>",16000
"<p>
Your day-to-day duties may include:
</p>
<ul>
    <li>assessing hazards posed by trees
    </li>
    <li>assessing tree health and treatment
    </li>
    <li>pruning or removing branches
    </li>
    <li>planting and felling trees
    </li>
</ul>",a week,,at short notice,"Tree surgeons carry out tree work including planting, felling, care and maintenance, and hazard assessments.",Environment and land,weekends,"<p> Your day-to-day duties may include:</p>
<ul>
    <li>assessing hazards posed by trees</li>
    <li>assessing tree health and treatment</li>
    <li>pruning or removing branches</li>
    <li>planting and felling trees</li>
</ul>",Tree surgeon,43,30000,"<p>
You'll need:
</p>
<ul>
    <li>the ability to use ropes, harnesses and equipment
    </li>
    <li>the ability to understand plans and maps
    </li>
</ul>",16000
"<p>You&rsquo;ll sell products to clients in a set area of the UK - known as a sales territory or 'patch'.&nbsp;<br />
<br />
You&rsquo;ll keep up to date with NHS developments and the latest clinical data and research, so you can discuss medical matters with health professionals in a knowledgeable way.<br />
<br />
Your day-to-day duties might include:</p>
<ul>
    <li>arranging appointments to see existing clients and &lsquo;cold call&rsquo; new contacts</li>
    <li>making presentations and persuading clients to use or buy your company&rsquo;s products</li>
    <li>building strong relationships with medical staff</li>
    <li>providing an after-sales service</li>
    <li>planning work schedules</li>
    <li>meeting sales targets</li>
    <li>organising and attending medical conferences</li>
    <li>checking competitors&rsquo; products and prices</li>
    <li><span style=""line-height: 1.5;"">keeping records and reporting back to head office</span></li>
</ul>
<p>You&rsquo;ll often specialise in a particular area, like oncology, diabetes or respiratory health.</p>",a week,,attending events or appointments,"Medical sales representatives work for pharmaceutical companies, selling drugs, medicines and medical equipment to health professionals.",Retail and sales,evenings / weekends,"<p>Your day-to-day duties might include:</p>
<ul>
    <li>arranging appointments to see existing clients and &lsquo;cold call&rsquo; new contacts</li>
    <li>making presentations and persuading clients to use or buy your company&rsquo;s products</li>
    <li>building strong relationships with medical staff</li>
    <li>providing an after-sales service</li>
    <li>planning work schedules</li>
    <li>meeting sales targets</li>
    <li>organising and attending medical conferences</li>
    <li>checking competitors&rsquo; products and prices</li>
    <li>keeping records and reporting back to head office</li>
</ul>",Medical sales representative,41,60000,"You'll need:<br />
<ul>
    <li>sales and negotiation skills</li>
    <li>networking skills</li>
    <li>communication, planning and organisational skills</li>
    <li>the ability to understand and present clinical data</li>
</ul>",19000
"<p>You&rsquo;ll help clients use their imagination and creativity to increase their confidence and self-esteem. Your clients may have:<span style=""line-height: 1.5;""></span></p>
<ul>
    <li>physical disabilities&nbsp;</li>
    <li>learning disabilities</li>
    <li>emotional or behavioural problems</li>
    <li>mental health conditions like depression or anxiety</li>
    <li><span style=""line-height: 1.5;"">addictions or an eating disorder</span></li>
</ul>
<p>You&rsquo;ll use a range of methods in your work, like voice, movement, storytelling, mime, puppetry and masks. <br />
<br />
You&rsquo;ll encourage your clients to:</p>
<ul>
    <li>work as part of a group</li>
    <li>form one-to-one relationships</li>
    <li>express what they feel and think about the world around them</li>
    <li>act out situations in a safe and supportive environment</li>
</ul>
<p><span style=""line-height: 1.5;""></span><span style=""line-height: 1.5;"">You&rsquo;ll work closely with other professionals like psychologists, social workers, teachers and other therapy specialists.</span></p>",a week,,,"Dramatherapists use group work, role play and movement to help people with their feelings and emotions.","Beauty and wellbeing,Healthcare,Social care",evenings / weekends,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>helping clients use their imagination and creativity to increase their confidence and self-esteem</li>
    <li>using voice, movement, storytelling, mime, puppetry and masks</li>
    <li>encouraging clients to form one-to-one relationships and also work as part of a group</li>
    <li>supporting clients to express what they feel and think about the world around them</li>
    <li>enabling the acting out of situations in a safe environment</li>
    <li>working closely with other professionals like psychologists, social workers, teachers and other therapy specialists</li>
</ul>",Dramatherapist,39,43772,"<p>You&rsquo;ll need:</p>
<ul>
    <li>excellent communication skills</li>
    <li>creativity, intuition and imagination</li>
    <li>the ability to relate to people from all backgrounds</li>
    <li>emotional strength, with the ability to cope with challenging situations</li>
    <li>report writing skills</li>
</ul>",30401
